ID	parent_id	src	dst	size	channel_id
0	-1	0	1	512KB	0
1	-1	0	2	512KB	0
2	-1	0	3	512KB	0
3	-1	0	4	512KB	0
4	-1	0	5	512KB	0
5	-1	0	6	512KB	0
6	-1	0	7	512KB	0
7	0,1,2,3,4,5,6	0	1	512KB	0
8	0,1,2,3,4,5,6	0	2	512KB	0
9	0,1,2,3,4,5,6	0	3	512KB	0
10	0,1,2,3,4,5,6	0	4	512KB	0
11	0,1,2,3,4,5,6	0	5	512KB	0
12	0,1,2,3,4,5,6	0	6	512KB	0
13	0,1,2,3,4,5,6	0	7	512KB	0
14	-1	0	8	128KB	1
15	-1	0	9	128KB	1
16	-1	0	10	128KB	1
17	-1	0	11	128KB	1
18	-1	0	12	128KB	1
19	-1	0	13	128KB	1
20	-1	0	14	128KB	1
21	-1	0	15	128KB	1
22	14,15,16,17,18,19,20,21	0	8	128KB	1
23	14,15,16,17,18,19,20,21	0	9	128KB	1
24	14,15,16,17,18,19,20,21	0	10	128KB	1
25	14,15,16,17,18,19,20,21	0	11	128KB	1
26	14,15,16,17,18,19,20,21	0	12	128KB	1
27	14,15,16,17,18,19,20,21	0	13	128KB	1
28	14,15,16,17,18,19,20,21	0	14	128KB	1
29	14,15,16,17,18,19,20,21	0	15	128KB	1
30	22,23,24,25,26,27,28,29	0	8	128KB	1
31	22,23,24,25,26,27,28,29	0	9	128KB	1
32	22,23,24,25,26,27,28,29	0	10	128KB	1
33	22,23,24,25,26,27,28,29	0	11	128KB	1
34	22,23,24,25,26,27,28,29	0	12	128KB	1
35	22,23,24,25,26,27,28,29	0	13	128KB	1
36	22,23,24,25,26,27,28,29	0	14	128KB	1
37	22,23,24,25,26,27,28,29	0	15	128KB	1
38	30,31,32,33,34,35,36,37	0	8	128KB	1
39	30,31,32,33,34,35,36,37	0	9	128KB	1
40	30,31,32,33,34,35,36,37	0	10	128KB	1
41	30,31,32,33,34,35,36,37	0	11	128KB	1
42	30,31,32,33,34,35,36,37	0	12	128KB	1
43	30,31,32,33,34,35,36,37	0	13	128KB	1
44	30,31,32,33,34,35,36,37	0	14	128KB	1
45	30,31,32,33,34,35,36,37	0	15	128KB	1
46	38,39,40,41,42,43,44,45	0	8	128KB	1
47	38,39,40,41,42,43,44,45	0	9	128KB	1
48	38,39,40,41,42,43,44,45	0	10	128KB	1
49	38,39,40,41,42,43,44,45	0	11	128KB	1
50	38,39,40,41,42,43,44,45	0	12	128KB	1
51	38,39,40,41,42,43,44,45	0	13	128KB	1
52	38,39,40,41,42,43,44,45	0	14	128KB	1
53	38,39,40,41,42,43,44,45	0	15	128KB	1
54	46,47,48,49,50,51,52,53	0	8	128KB	1
55	46,47,48,49,50,51,52,53	0	9	128KB	1
56	46,47,48,49,50,51,52,53	0	10	128KB	1
57	46,47,48,49,50,51,52,53	0	11	128KB	1
58	46,47,48,49,50,51,52,53	0	12	128KB	1
59	46,47,48,49,50,51,52,53	0	13	128KB	1
60	46,47,48,49,50,51,52,53	0	14	128KB	1
61	46,47,48,49,50,51,52,53	0	15	128KB	1
62	54,55,56,57,58,59,60,61	0	8	128KB	1
63	54,55,56,57,58,59,60,61	0	9	128KB	1
64	54,55,56,57,58,59,60,61	0	10	128KB	1
65	54,55,56,57,58,59,60,61	0	11	128KB	1
66	54,55,56,57,58,59,60,61	0	12	128KB	1
67	54,55,56,57,58,59,60,61	0	13	128KB	1
68	54,55,56,57,58,59,60,61	0	14	128KB	1
69	54,55,56,57,58,59,60,61	0	15	128KB	1
70	62,63,64,65,66,67,68,69	0	8	128KB	1
71	62,63,64,65,66,67,68,69	0	9	128KB	1
72	62,63,64,65,66,67,68,69	0	10	128KB	1
73	62,63,64,65,66,67,68,69	0	11	128KB	1
74	62,63,64,65,66,67,68,69	0	12	128KB	1
75	62,63,64,65,66,67,68,69	0	13	128KB	1
76	62,63,64,65,66,67,68,69	0	14	128KB	1
77	62,63,64,65,66,67,68,69	0	15	128KB	1
78	-1	0	16	128KB	2
79	-1	0	17	128KB	2
80	-1	0	18	128KB	2
81	-1	0	19	128KB	2
82	-1	0	20	128KB	2
83	-1	0	21	128KB	2
84	-1	0	22	128KB	2
85	-1	0	23	128KB	2
86	78,79,80,81,82,83,84,85	0	16	128KB	2
87	78,79,80,81,82,83,84,85	0	17	128KB	2
88	78,79,80,81,82,83,84,85	0	18	128KB	2
89	78,79,80,81,82,83,84,85	0	19	128KB	2
90	78,79,80,81,82,83,84,85	0	20	128KB	2
91	78,79,80,81,82,83,84,85	0	21	128KB	2
92	78,79,80,81,82,83,84,85	0	22	128KB	2
93	78,79,80,81,82,83,84,85	0	23	128KB	2
94	86,87,88,89,90,91,92,93	0	16	128KB	2
95	86,87,88,89,90,91,92,93	0	17	128KB	2
96	86,87,88,89,90,91,92,93	0	18	128KB	2
97	86,87,88,89,90,91,92,93	0	19	128KB	2
98	86,87,88,89,90,91,92,93	0	20	128KB	2
99	86,87,88,89,90,91,92,93	0	21	128KB	2
100	86,87,88,89,90,91,92,93	0	22	128KB	2
101	86,87,88,89,90,91,92,93	0	23	128KB	2
102	94,95,96,97,98,99,100,101	0	16	128KB	2
103	94,95,96,97,98,99,100,101	0	17	128KB	2
104	94,95,96,97,98,99,100,101	0	18	128KB	2
105	94,95,96,97,98,99,100,101	0	19	128KB	2
106	94,95,96,97,98,99,100,101	0	20	128KB	2
107	94,95,96,97,98,99,100,101	0	21	128KB	2
108	94,95,96,97,98,99,100,101	0	22	128KB	2
109	94,95,96,97,98,99,100,101	0	23	128KB	2
110	102,103,104,105,106,107,108,109	0	16	128KB	2
111	102,103,104,105,106,107,108,109	0	17	128KB	2
112	102,103,104,105,106,107,108,109	0	18	128KB	2
113	102,103,104,105,106,107,108,109	0	19	128KB	2
114	102,103,104,105,106,107,108,109	0	20	128KB	2
115	102,103,104,105,106,107,108,109	0	21	128KB	2
116	102,103,104,105,106,107,108,109	0	22	128KB	2
117	102,103,104,105,106,107,108,109	0	23	128KB	2
118	110,111,112,113,114,115,116,117	0	16	128KB	2
119	110,111,112,113,114,115,116,117	0	17	128KB	2
120	110,111,112,113,114,115,116,117	0	18	128KB	2
121	110,111,112,113,114,115,116,117	0	19	128KB	2
122	110,111,112,113,114,115,116,117	0	20	128KB	2
123	110,111,112,113,114,115,116,117	0	21	128KB	2
124	110,111,112,113,114,115,116,117	0	22	128KB	2
125	110,111,112,113,114,115,116,117	0	23	128KB	2
126	118,119,120,121,122,123,124,125	0	16	128KB	2
127	118,119,120,121,122,123,124,125	0	17	128KB	2
128	118,119,120,121,122,123,124,125	0	18	128KB	2
129	118,119,120,121,122,123,124,125	0	19	128KB	2
130	118,119,120,121,122,123,124,125	0	20	128KB	2
131	118,119,120,121,122,123,124,125	0	21	128KB	2
132	118,119,120,121,122,123,124,125	0	22	128KB	2
133	118,119,120,121,122,123,124,125	0	23	128KB	2
134	126,127,128,129,130,131,132,133	0	16	128KB	2
135	126,127,128,129,130,131,132,133	0	17	128KB	2
136	126,127,128,129,130,131,132,133	0	18	128KB	2
137	126,127,128,129,130,131,132,133	0	19	128KB	2
138	126,127,128,129,130,131,132,133	0	20	128KB	2
139	126,127,128,129,130,131,132,133	0	21	128KB	2
140	126,127,128,129,130,131,132,133	0	22	128KB	2
141	126,127,128,129,130,131,132,133	0	23	128KB	2
142	-1	0	24	128KB	3
143	-1	0	25	128KB	3
144	-1	0	26	128KB	3
145	-1	0	27	128KB	3
146	-1	0	28	128KB	3
147	-1	0	29	128KB	3
148	-1	0	30	128KB	3
149	-1	0	31	128KB	3
150	142,143,144,145,146,147,148,149	0	24	128KB	3
151	142,143,144,145,146,147,148,149	0	25	128KB	3
152	142,143,144,145,146,147,148,149	0	26	128KB	3
153	142,143,144,145,146,147,148,149	0	27	128KB	3
154	142,143,144,145,146,147,148,149	0	28	128KB	3
155	142,143,144,145,146,147,148,149	0	29	128KB	3
156	142,143,144,145,146,147,148,149	0	30	128KB	3
157	142,143,144,145,146,147,148,149	0	31	128KB	3
158	150,151,152,153,154,155,156,157	0	24	128KB	3
159	150,151,152,153,154,155,156,157	0	25	128KB	3
160	150,151,152,153,154,155,156,157	0	26	128KB	3
161	150,151,152,153,154,155,156,157	0	27	128KB	3
162	150,151,152,153,154,155,156,157	0	28	128KB	3
