Size,单机(NVLinkx),2 机(NIC ),4 机 32 卡(NIC),8机 64 卡(NIC),16机 128 卡(NIC),32机256卡(NIC),64机512卡(NIC),128机1024卡(NIC),Multi 16,Multi 32,Muiti 64,Multi (NIC)
16777216,0.44,0.52,0.67,0.64,0.62,,,,0.86,0.86,0.77,
33554432,0.51,0.63,0.68,0.67,0.66,,,,0.92,0.9,0.8,
67108864,0.6,0.72,0.83,0.82,0.66,,,,0.94,0.91,0.83,
134217728,0.65,0.76,0.9,0.85,0.72,,,,0.94,0.92,0.87,
268435456,0.7,0.79,0.92,0.87,0.75,,,,0.94,0.93,0.91,0.9
536870912,0.71,0.8,0.94,0.89,0.81,,,,0.95,0.94,0.93,0.95
1073741824,0.74,0.81,0.94,0.92,0.85,,,,0.96,0.95,0.94,0.95
2147483648,0.76,0.81,0.95,0.93,0.88,,,,0.96,0.96,0.95,0.95
4294967296,0.77,0.8,0.95,0.94,0.89,,,,0.96,0.96,0.95,0.95
8589934592,0.78,0.8,0.95,0.94,0.9,,,,0.96,0.96,0.96,0.95
17179869184,0.78,0.8,0.95,0.94,0.9,,,,0.96,0.96,0.96,0.95
