Size,1 Node(NVLinkx),2Node-16GPU(NIC ),4Node-32GPU(NIC),8Node-64GPU(NIC),16Node-128GPU(NIC),32Node-256GPU(NIC),64Node-512GPU(NIC),128Node-1024GPU(NIC),Multi 16,Multi 32,Muiti 64,Multi (NIC)
16777216,0.45,0.32,0.24,0.13,0.05,0.044,0.021,0.0087,0.86,0.86,0.77,
33554432,0.55,0.47,0.38,0.24,0.11,0.052,0.042,0.021225,0.92,0.9,0.8,
67108864,0.65,0.5,0.53,0.39,0.21,0.106,0.051,0.04405,0.94,0.91,0.83,
134217728,0.69,0.67,0.67,0.54,0.38,0.205,0.107,0.0533,0.94,0.92,0.87,
268435456,0.73,0.85,0.77,0.69,0.57,0.387,0.209,0.1027,0.94,0.93,0.91,0.9
536870912,0.76,0.89,0.85,0.78,0.73,0.562,0.384,0.1902,0.95,0.94,0.93,0.95
1073741824,0.77,0.92,0.93,0.9,0.76,0.74,0.563,0.314575,0.96,0.95,0.94,0.95
2147483648,0.78,0.94,0.94,0.94,0.92,0.758,0.745,0.553525,0.96,0.96,0.95,0.95
4294967296,0.79,0.95,0.95,0.95,0.95,0.923,0.755,0.740175,0.96,0.96,0.95,0.95
8589934592,0.8,0.95,0.96,0.96,0.96,0.953,0.914,0.7648,0.96,0.96,0.96,0.95
17179869184,0.81,0.96,0.96,0.96,0.96,0.957,0.958,0.919175,0.96,0.96,0.96,0.95
