layer_id	layer_name	comp_time	comm_size
0	attention	53006	14336
0	mlp	32216	14336
1	attention	53006	14336
1	mlp	32216	14336
2	attention	53006	14336
2	mlp	32216	14336
3	attention	53006	14336
3	moe	156560	21728
4	attention	53006	14336
4	moe	156560	21728
5	attention	53006	14336
5	moe	156560	21728
6	attention	53006	14336
6	moe	156560	21728
7	attention	53006	14336
7	moe	156560	21728
8	attention	53006	14336
8	moe	156560	21728
9	attention	53006	14336
9	moe	156560	21728
10	attention	53006	14336
10	moe	156560	21728
11	attention	53006	14336
11	moe	156560	21728
12	attention	53006	14336
12	moe	156560	21728
13	attention	53006	14336
13	moe	156560	21728
14	attention	53006	14336
14	moe	156560	21728
15	attention	53006	14336
15	moe	156560	21728
16	attention	53006	14336
16	moe	156560	21728
17	attention	53006	14336
17	moe	156560	21728
18	attention	53006	14336
18	moe	156560	21728
19	attention	53006	14336
19	moe	156560	21728
20	attention	53006	14336
20	moe	156560	21728
21	attention	53006	14336
21	moe	156560	21728
22	attention	53006	14336
22	moe	156560	21728
23	attention	53006	14336
23	moe	156560	21728
24	attention	53006	14336
24	moe	156560	21728
25	attention	53006	14336
25	moe	156560	21728
26	attention	53006	14336
26	moe	156560	21728
27	attention	53006	14336
27	moe	156560	21728
28	attention	53006	14336
28	moe	156560	21728
29	attention	53006	14336
29	moe	156560	21728
30	attention	53006	14336
30	moe	156560	21728
31	attention	53006	14336
31	moe	156560	21728
32	attention	53006	14336
32	moe	156560	21728
33	attention	53006	14336
33	moe	156560	21728
34	attention	53006	14336
34	moe	156560	21728
35	attention	53006	14336
35	moe	156560	21728
36	attention	53006	14336
36	moe	156560	21728
37	attention	53006	14336
37	moe	156560	21728
38	attention	53006	14336
38	moe	156560	21728
39	attention	53006	14336
39	moe	156560	21728
40	attention	53006	14336
40	moe	156560	21728
41	attention	53006	14336
41	moe	156560	21728
42	attention	53006	14336
42	moe	156560	21728
43	attention	53006	14336
43	moe	156560	21728
44	attention	53006	14336
44	moe	156560	21728
45	attention	53006	14336
45	moe	156560	21728
46	attention	53006	14336
46	moe	156560	21728
47	attention	53006	14336
47	moe	156560	21728
48	attention	53006	14336
48	moe	156560	21728
49	attention	53006	14336
49	moe	156560	21728
50	attention	53006	14336
50	moe	156560	21728
51	attention	53006	14336
51	moe	156560	21728
52	attention	53006	14336
52	moe	156560	21728
53	attention	53006	14336
53	moe	156560	21728
54	attention	53006	14336
54	moe	156560	21728
55	attention	53006	14336
55	moe	156560	21728
56	attention	53006	14336
56	moe	156560	21728
57	attention	53006	14336
57	moe	156560	21728
58	attention	53006	14336
58	moe	156560	21728
59	attention	53006	14336
59	moe	156560	21728
60	attention	53006	14336
60	moe	156560	21728
