layer_id	layer_name	comp_time	comm_size
0	attention	35698	8192
0	moe	59069	24832
1	attention	35698	8192
1	moe	59069	24832
2	attention	35698	8192
2	moe	59069	24832
3	attention	35698	8192
3	moe	59069	24832
4	attention	35698	8192
4	moe	59069	24832
5	attention	35698	8192
5	moe	59069	24832
6	attention	35698	8192
6	moe	59069	24832
7	attention	35698	8192
7	moe	59069	24832
8	attention	35698	8192
8	moe	59069	24832
9	attention	35698	8192
9	moe	59069	24832
10	attention	35698	8192
10	moe	59069	24832
11	attention	35698	8192
11	moe	59069	24832
12	attention	35698	8192
12	moe	59069	24832
13	attention	35698	8192
13	moe	59069	24832
14	attention	35698	8192
14	moe	59069	24832
15	attention	35698	8192
15	moe	59069	24832
16	attention	35698	8192
16	moe	59069	24832
17	attention	35698	8192
17	moe	59069	24832
18	attention	35698	8192
18	moe	59069	24832
19	attention	35698	8192
19	moe	59069	24832
20	attention	35698	8192
20	moe	59069	24832
21	attention	35698	8192
21	moe	59069	24832
22	attention	35698	8192
22	moe	59069	24832
23	attention	35698	8192
23	moe	59069	24832
24	attention	35698	8192
24	moe	59069	24832
25	attention	35698	8192
25	moe	59069	24832
26	attention	35698	8192
26	moe	59069	24832
27	attention	35698	8192
27	moe	59069	24832
28	attention	35698	8192
28	moe	59069	24832
29	attention	35698	8192
29	moe	59069	24832
30	attention	35698	8192
30	moe	59069	24832
31	attention	35698	8192
31	moe	59069	24832
32	attention	35698	8192
32	moe	59069	24832
33	attention	35698	8192
33	moe	59069	24832
34	attention	35698	8192
34	moe	59069	24832
35	attention	35698	8192
35	moe	59069	24832
36	attention	35698	8192
36	moe	59069	24832
37	attention	35698	8192
37	moe	59069	24832
38	attention	35698	8192
38	moe	59069	24832
39	attention	35698	8192
39	moe	59069	24832
40	attention	35698	8192
40	moe	59069	24832
41	attention	35698	8192
41	moe	59069	24832
42	attention	35698	8192
42	moe	59069	24832
43	attention	35698	8192
43	moe	59069	24832
44	attention	35698	8192
44	moe	59069	24832
45	attention	35698	8192
45	moe	59069	24832
46	attention	35698	8192
46	moe	59069	24832
47	attention	35698	8192
47	moe	59069	24832
48	attention	35698	8192
48	moe	59069	24832
49	attention	35698	8192
49	moe	59069	24832
50	attention	35698	8192
50	moe	59069	24832
51	attention	35698	8192
51	moe	59069	24832
52	attention	35698	8192
52	moe	59069	24832
53	attention	35698	8192
53	moe	59069	24832
54	attention	35698	8192
54	moe	59069	24832
55	attention	35698	8192
55	moe	59069	24832
56	attention	35698	8192
56	moe	59069	24832
57	attention	35698	8192
57	moe	59069	24832
58	attention	35698	8192
58	moe	59069	24832
59	attention	35698	8192
59	moe	59069	24832
60	attention	35698	8192
60	moe	59069	24832
61	attention	35698	8192
61	moe	59069	24832
62	attention	35698	8192
62	moe	59069	24832
63	attention	35698	8192
63	moe	59069	24832
64	attention	35698	8192
64	moe	59069	24832
65	attention	35698	8192
65	moe	59069	24832
66	attention	35698	8192
66	moe	59069	24832
67	attention	35698	8192
67	moe	59069	24832
68	attention	35698	8192
68	moe	59069	24832
69	attention	35698	8192
69	moe	59069	24832
70	attention	35698	8192
70	moe	59069	24832
71	attention	35698	8192
71	moe	59069	24832
72	attention	35698	8192
72	moe	59069	24832
73	attention	35698	8192
73	moe	59069	24832
74	attention	35698	8192
74	moe	59069	24832
75	attention	35698	8192
75	moe	59069	24832
76	attention	35698	8192
76	moe	59069	24832
77	attention	35698	8192
77	moe	59069	24832
78	attention	35698	8192
78	moe	59069	24832
79	attention	35698	8192
79	moe	59069	24832
80	attention	35698	8192
80	moe	59069	24832
81	attention	35698	8192
81	moe	59069	24832
82	attention	35698	8192
82	moe	59069	24832
83	attention	35698	8192
83	moe	59069	24832
84	attention	35698	8192
84	moe	59069	24832
85	attention	35698	8192
85	moe	59069	24832
86	attention	35698	8192
86	moe	59069	24832
87	attention	35698	8192
87	moe	59069	24832
88	attention	35698	8192
88	moe	59069	24832
89	attention	35698	8192
89	moe	59069	24832
90	attention	35698	8192
90	moe	59069	24832
91	attention	35698	8192
91	moe	59069	24832
92	attention	35698	8192
92	moe	59069	24832
93	attention	35698	8192
93	moe	59069	24832
