layer_id	layer_name	comp_time	comm_size
0	attention	44798	819200
0	moe	182516	2483200
1	attention	44798	819200
1	moe	182516	2483200
2	attention	44798	819200
2	moe	182516	2483200
3	attention	44798	819200
3	moe	182516	2483200
4	attention	44798	819200
4	moe	182516	2483200
5	attention	44798	819200
5	moe	182516	2483200
6	attention	44798	819200
6	moe	182516	2483200
7	attention	44798	819200
7	moe	182516	2483200
8	attention	44798	819200
8	moe	182516	2483200
9	attention	44798	819200
9	moe	182516	2483200
10	attention	44798	819200
10	moe	182516	2483200
11	attention	44798	819200
11	moe	182516	2483200
12	attention	44798	819200
12	moe	182516	2483200
13	attention	44798	819200
13	moe	182516	2483200
14	attention	44798	819200
14	moe	182516	2483200
15	attention	44798	819200
15	moe	182516	2483200
16	attention	44798	819200
16	moe	182516	2483200
17	attention	44798	819200
17	moe	182516	2483200
18	attention	44798	819200
18	moe	182516	2483200
19	attention	44798	819200
19	moe	182516	2483200
20	attention	44798	819200
20	moe	182516	2483200
21	attention	44798	819200
21	moe	182516	2483200
22	attention	44798	819200
22	moe	182516	2483200
23	attention	44798	819200
23	moe	182516	2483200
24	attention	44798	819200
24	moe	182516	2483200
25	attention	44798	819200
25	moe	182516	2483200
26	attention	44798	819200
26	moe	182516	2483200
27	attention	44798	819200
27	moe	182516	2483200
28	attention	44798	819200
28	moe	182516	2483200
29	attention	44798	819200
29	moe	182516	2483200
30	attention	44798	819200
30	moe	182516	2483200
31	attention	44798	819200
31	moe	182516	2483200
32	attention	44798	819200
32	moe	182516	2483200
33	attention	44798	819200
33	moe	182516	2483200
34	attention	44798	819200
34	moe	182516	2483200
35	attention	44798	819200
35	moe	182516	2483200
36	attention	44798	819200
36	moe	182516	2483200
37	attention	44798	819200
37	moe	182516	2483200
38	attention	44798	819200
38	moe	182516	2483200
39	attention	44798	819200
39	moe	182516	2483200
40	attention	44798	819200
40	moe	182516	2483200
41	attention	44798	819200
41	moe	182516	2483200
42	attention	44798	819200
42	moe	182516	2483200
43	attention	44798	819200
43	moe	182516	2483200
44	attention	44798	819200
44	moe	182516	2483200
45	attention	44798	819200
45	moe	182516	2483200
46	attention	44798	819200
46	moe	182516	2483200
47	attention	44798	819200
47	moe	182516	2483200
48	attention	44798	819200
48	moe	182516	2483200
49	attention	44798	819200
49	moe	182516	2483200
50	attention	44798	819200
50	moe	182516	2483200
51	attention	44798	819200
51	moe	182516	2483200
52	attention	44798	819200
52	moe	182516	2483200
53	attention	44798	819200
53	moe	182516	2483200
54	attention	44798	819200
54	moe	182516	2483200
55	attention	44798	819200
55	moe	182516	2483200
56	attention	44798	819200
56	moe	182516	2483200
57	attention	44798	819200
57	moe	182516	2483200
58	attention	44798	819200
58	moe	182516	2483200
59	attention	44798	819200
59	moe	182516	2483200
60	attention	44798	819200
60	moe	182516	2483200
61	attention	44798	819200
61	moe	182516	2483200
62	attention	44798	819200
62	moe	182516	2483200
63	attention	44798	819200
63	moe	182516	2483200
64	attention	44798	819200
64	moe	182516	2483200
65	attention	44798	819200
65	moe	182516	2483200
66	attention	44798	819200
66	moe	182516	2483200
67	attention	44798	819200
67	moe	182516	2483200
68	attention	44798	819200
68	moe	182516	2483200
69	attention	44798	819200
69	moe	182516	2483200
70	attention	44798	819200
70	moe	182516	2483200
71	attention	44798	819200
71	moe	182516	2483200
72	attention	44798	819200
72	moe	182516	2483200
73	attention	44798	819200
73	moe	182516	2483200
74	attention	44798	819200
74	moe	182516	2483200
75	attention	44798	819200
75	moe	182516	2483200
76	attention	44798	819200
76	moe	182516	2483200
77	attention	44798	819200
77	moe	182516	2483200
78	attention	44798	819200
78	moe	182516	2483200
79	attention	44798	819200
79	moe	182516	2483200
80	attention	44798	819200
80	moe	182516	2483200
81	attention	44798	819200
81	moe	182516	2483200
82	attention	44798	819200
82	moe	182516	2483200
83	attention	44798	819200
83	moe	182516	2483200
84	attention	44798	819200
84	moe	182516	2483200
85	attention	44798	819200
85	moe	182516	2483200
86	attention	44798	819200
86	moe	182516	2483200
87	attention	44798	819200
87	moe	182516	2483200
88	attention	44798	819200
88	moe	182516	2483200
89	attention	44798	819200
89	moe	182516	2483200
90	attention	44798	819200
90	moe	182516	2483200
91	attention	44798	819200
91	moe	182516	2483200
92	attention	44798	819200
92	moe	182516	2483200
93	attention	44798	819200
93	moe	182516	2483200
