layer_id	layer_name	comp_time	comm_size
0	attention	45585	0
0	moe	496646	6208000
1	attention	45585	0
1	moe	496646	6208000
2	attention	45585	0
2	moe	496646	6208000
3	attention	53624	0
3	moe	496646	6208000
4	attention	45585	0
4	moe	496646	6208000
5	attention	45585	0
5	moe	496646	6208000
6	attention	45585	0
6	moe	496646	6208000
7	attention	53624	0
7	moe	496646	6208000
8	attention	45585	0
8	moe	496646	6208000
9	attention	45585	0
9	moe	496646	6208000
10	attention	45585	0
10	moe	496646	6208000
11	attention	53624	0
11	moe	496646	6208000
12	attention	45585	0
12	moe	496646	6208000
13	attention	45585	0
13	moe	496646	6208000
14	attention	45585	0
14	moe	496646	6208000
15	attention	53624	0
15	moe	496646	6208000
16	attention	45585	0
16	moe	496646	6208000
17	attention	45585	0
17	moe	496646	6208000
18	attention	45585	0
18	moe	496646	6208000
19	attention	53624	0
19	moe	496646	6208000
20	attention	45585	0
20	moe	496646	6208000
21	attention	45585	0
21	moe	496646	6208000
22	attention	45585	0
22	moe	496646	6208000
23	attention	53624	0
23	moe	496646	6208000
24	attention	45585	0
24	moe	496646	6208000
25	attention	45585	0
25	moe	496646	6208000
26	attention	45585	0
26	moe	496646	6208000
27	attention	53624	0
27	moe	496646	6208000
28	attention	45585	0
28	moe	496646	6208000
29	attention	45585	0
29	moe	496646	6208000
30	attention	45585	0
30	moe	496646	6208000
31	attention	53624	0
31	moe	496646	6208000
32	attention	45585	0
32	moe	496646	6208000
33	attention	45585	0
33	moe	496646	6208000
34	attention	45585	0
34	moe	496646	6208000
35	attention	53624	0
35	moe	496646	6208000
36	attention	45585	0
36	moe	496646	6208000
37	attention	45585	0
37	moe	496646	6208000
38	attention	45585	0
38	moe	496646	6208000
39	attention	53624	0
39	moe	496646	6208000
40	attention	45585	0
40	moe	496646	6208000
41	attention	45585	0
41	moe	496646	6208000
42	attention	45585	0
42	moe	496646	6208000
43	attention	53624	0
43	moe	496646	6208000
44	attention	45585	0
44	moe	496646	6208000
45	attention	45585	0
45	moe	496646	6208000
46	attention	45585	0
46	moe	496646	6208000
47	attention	53624	0
47	moe	496646	6208000
