layer_id	layer_name	comp_time	comm_size
0	attention	26828	0
0	moe	47850	62080
1	attention	26828	0
1	moe	47850	62080
2	attention	26828	0
2	moe	47850	62080
3	attention	42077	0
3	moe	47850	62080
4	attention	26828	0
4	moe	47850	62080
5	attention	26828	0
5	moe	47850	62080
6	attention	26828	0
6	moe	47850	62080
7	attention	42077	0
7	moe	47850	62080
8	attention	26828	0
8	moe	47850	62080
9	attention	26828	0
9	moe	47850	62080
10	attention	26828	0
10	moe	47850	62080
11	attention	42077	0
11	moe	47850	62080
12	attention	26828	0
12	moe	47850	62080
13	attention	26828	0
13	moe	47850	62080
14	attention	26828	0
14	moe	47850	62080
15	attention	42077	0
15	moe	47850	62080
16	attention	26828	0
16	moe	47850	62080
17	attention	26828	0
17	moe	47850	62080
18	attention	26828	0
18	moe	47850	62080
19	attention	42077	0
19	moe	47850	62080
20	attention	26828	0
20	moe	47850	62080
21	attention	26828	0
21	moe	47850	62080
22	attention	26828	0
22	moe	47850	62080
23	attention	42077	0
23	moe	47850	62080
24	attention	26828	0
24	moe	47850	62080
25	attention	26828	0
25	moe	47850	62080
26	attention	26828	0
26	moe	47850	62080
27	attention	42077	0
27	moe	47850	62080
28	attention	26828	0
28	moe	47850	62080
29	attention	26828	0
29	moe	47850	62080
30	attention	26828	0
30	moe	47850	62080
31	attention	42077	0
31	moe	47850	62080
32	attention	26828	0
32	moe	47850	62080
33	attention	26828	0
33	moe	47850	62080
34	attention	26828	0
34	moe	47850	62080
35	attention	42077	0
35	moe	47850	62080
36	attention	26828	0
36	moe	47850	62080
37	attention	26828	0
37	moe	47850	62080
38	attention	26828	0
38	moe	47850	62080
39	attention	42077	0
39	moe	47850	62080
40	attention	26828	0
40	moe	47850	62080
41	attention	26828	0
41	moe	47850	62080
42	attention	26828	0
42	moe	47850	62080
43	attention	42077	0
43	moe	47850	62080
44	attention	26828	0
44	moe	47850	62080
45	attention	26828	0
45	moe	47850	62080
46	attention	26828	0
46	moe	47850	62080
47	attention	42077	0
47	moe	47850	62080
