layer_id	layer_name	comp_time	comm_size
0	attention	189453	0
0	mlp	30574	0
1	attention	189453	0
1	mlp	30574	0
2	attention	189453	0
2	mlp	30574	0
3	attention	189453	0
3	moe	239215	695296
4	attention	189453	0
4	moe	239215	695296
5	attention	189453	0
5	moe	239215	695296
6	attention	189453	0
6	moe	239215	695296
7	attention	189453	0
7	moe	239215	695296
8	attention	189453	0
8	moe	239215	695296
9	attention	189453	0
9	moe	239215	695296
10	attention	189453	0
10	moe	239215	695296
11	attention	189453	0
11	moe	239215	695296
12	attention	189453	0
12	moe	239215	695296
13	attention	189453	0
13	moe	239215	695296
14	attention	189453	0
14	moe	239215	695296
15	attention	189453	0
15	moe	239215	695296
16	attention	189453	0
16	moe	239215	695296
17	attention	189453	0
17	moe	239215	695296
18	attention	189453	0
18	moe	239215	695296
19	attention	189453	0
19	moe	239215	695296
20	attention	189453	0
20	moe	239215	695296
21	attention	189453	0
21	moe	239215	695296
22	attention	189453	0
22	moe	239215	695296
23	attention	189453	0
23	moe	239215	695296
24	attention	189453	0
24	moe	239215	695296
25	attention	189453	0
25	moe	239215	695296
26	attention	189453	0
26	moe	239215	695296
27	attention	189453	0
27	moe	239215	695296
28	attention	189453	0
28	moe	239215	695296
29	attention	189453	0
29	moe	239215	695296
30	attention	189453	0
30	moe	239215	695296
31	attention	189453	0
31	moe	239215	695296
32	attention	189453	0
32	moe	239215	695296
33	attention	189453	0
33	moe	239215	695296
34	attention	189453	0
34	moe	239215	695296
35	attention	189453	0
35	moe	239215	695296
36	attention	189453	0
36	moe	239215	695296
37	attention	189453	0
37	moe	239215	695296
38	attention	189453	0
38	moe	239215	695296
39	attention	189453	0
39	moe	239215	695296
40	attention	189453	0
40	moe	239215	695296
41	attention	189453	0
41	moe	239215	695296
42	attention	189453	0
42	moe	239215	695296
43	attention	189453	0
43	moe	239215	695296
44	attention	189453	0
44	moe	239215	695296
45	attention	189453	0
45	moe	239215	695296
46	attention	189453	0
46	moe	239215	695296
47	attention	189453	0
47	moe	239215	695296
48	attention	189453	0
48	moe	239215	695296
49	attention	189453	0
49	moe	239215	695296
50	attention	189453	0
50	moe	239215	695296
51	attention	189453	0
51	moe	239215	695296
52	attention	189453	0
52	moe	239215	695296
53	attention	189453	0
53	moe	239215	695296
54	attention	189453	0
54	moe	239215	695296
55	attention	189453	0
55	moe	239215	695296
56	attention	189453	0
56	moe	239215	695296
57	attention	189453	0
57	moe	239215	695296
58	attention	189453	0
58	moe	239215	695296
59	attention	189453	0
59	moe	239215	695296
60	attention	189453	0
60	moe	239215	695296
