layer_id	layer_name	comp_time	comm_size
0	attention	23627076	0
0	mlp	1371115	0
1	attention	23627076	0
1	mlp	1371115	0
2	attention	23627076	0
2	mlp	1371115	0
3	attention	23627076	0
3	moe	13102115	711983104
4	attention	23627076	0
4	moe	13102115	711983104
5	attention	23627076	0
5	moe	13102115	711983104
6	attention	23627076	0
6	moe	13102115	711983104
7	attention	23627076	0
7	moe	13102115	711983104
8	attention	23627076	0
8	moe	13102115	711983104
9	attention	23627076	0
9	moe	13102115	711983104
10	attention	23627076	0
10	moe	13102115	711983104
11	attention	23627076	0
11	moe	13102115	711983104
12	attention	23627076	0
12	moe	13102115	711983104
13	attention	23627076	0
13	moe	13102115	711983104
14	attention	23627076	0
14	moe	13102115	711983104
15	attention	23627076	0
15	moe	13102115	711983104
16	attention	23627076	0
16	moe	13102115	711983104
17	attention	23627076	0
17	moe	13102115	711983104
18	attention	23627076	0
18	moe	13102115	711983104
19	attention	23627076	0
19	moe	13102115	711983104
20	attention	23627076	0
20	moe	13102115	711983104
21	attention	23627076	0
21	moe	13102115	711983104
22	attention	23627076	0
22	moe	13102115	711983104
23	attention	23627076	0
23	moe	13102115	711983104
24	attention	23627076	0
24	moe	13102115	711983104
25	attention	23627076	0
25	moe	13102115	711983104
26	attention	23627076	0
26	moe	13102115	711983104
27	attention	23627076	0
27	moe	13102115	711983104
28	attention	23627076	0
28	moe	13102115	711983104
29	attention	23627076	0
29	moe	13102115	711983104
30	attention	23627076	0
30	moe	13102115	711983104
31	attention	23627076	0
31	moe	13102115	711983104
32	attention	23627076	0
32	moe	13102115	711983104
33	attention	23627076	0
33	moe	13102115	711983104
34	attention	23627076	0
34	moe	13102115	711983104
35	attention	23627076	0
35	moe	13102115	711983104
36	attention	23627076	0
36	moe	13102115	711983104
37	attention	23627076	0
37	moe	13102115	711983104
38	attention	23627076	0
38	moe	13102115	711983104
39	attention	23627076	0
39	moe	13102115	711983104
40	attention	23627076	0
40	moe	13102115	711983104
41	attention	23627076	0
41	moe	13102115	711983104
42	attention	23627076	0
42	moe	13102115	711983104
43	attention	23627076	0
43	moe	13102115	711983104
44	attention	23627076	0
44	moe	13102115	711983104
45	attention	23627076	0
45	moe	13102115	711983104
46	attention	23627076	0
46	moe	13102115	711983104
47	attention	23627076	0
47	moe	13102115	711983104
48	attention	23627076	0
48	moe	13102115	711983104
49	attention	23627076	0
49	moe	13102115	711983104
50	attention	23627076	0
50	moe	13102115	711983104
51	attention	23627076	0
51	moe	13102115	711983104
52	attention	23627076	0
52	moe	13102115	711983104
53	attention	23627076	0
53	moe	13102115	711983104
54	attention	23627076	0
54	moe	13102115	711983104
55	attention	23627076	0
55	moe	13102115	711983104
56	attention	23627076	0
56	moe	13102115	711983104
57	attention	23627076	0
57	moe	13102115	711983104
58	attention	23627076	0
58	moe	13102115	711983104
59	attention	23627076	0
59	moe	13102115	711983104
60	attention	23627076	0
60	moe	13102115	711983104
