layer_id	layer_name	comp_time	comm_size
0	attention	85414	0
0	moe	80703	397312
1	attention	85414	0
1	moe	80703	397312
2	attention	85414	0
2	moe	80703	397312
3	attention	85414	0
3	moe	80703	397312
4	attention	85414	0
4	moe	80703	397312
5	attention	85414	0
5	moe	80703	397312
6	attention	85414	0
6	moe	80703	397312
7	attention	85414	0
7	moe	80703	397312
8	attention	85414	0
8	moe	80703	397312
9	attention	85414	0
9	moe	80703	397312
10	attention	85414	0
10	moe	80703	397312
11	attention	85414	0
11	moe	80703	397312
12	attention	85414	0
12	moe	80703	397312
13	attention	85414	0
13	moe	80703	397312
14	attention	85414	0
14	moe	80703	397312
15	attention	85414	0
15	moe	80703	397312
16	attention	85414	0
16	moe	80703	397312
17	attention	85414	0
17	moe	80703	397312
18	attention	85414	0
18	moe	80703	397312
19	attention	85414	0
19	moe	80703	397312
20	attention	85414	0
20	moe	80703	397312
21	attention	85414	0
21	moe	80703	397312
22	attention	85414	0
22	moe	80703	397312
23	attention	85414	0
23	moe	80703	397312
24	attention	85414	0
24	moe	80703	397312
25	attention	85414	0
25	moe	80703	397312
26	attention	85414	0
26	moe	80703	397312
27	attention	85414	0
27	moe	80703	397312
28	attention	85414	0
28	moe	80703	397312
29	attention	85414	0
29	moe	80703	397312
30	attention	85414	0
30	moe	80703	397312
31	attention	85414	0
31	moe	80703	397312
32	attention	85414	0
32	moe	80703	397312
33	attention	85414	0
33	moe	80703	397312
34	attention	85414	0
34	moe	80703	397312
35	attention	85414	0
35	moe	80703	397312
36	attention	85414	0
36	moe	80703	397312
37	attention	85414	0
37	moe	80703	397312
38	attention	85414	0
38	moe	80703	397312
39	attention	85414	0
39	moe	80703	397312
40	attention	85414	0
40	moe	80703	397312
41	attention	85414	0
41	moe	80703	397312
42	attention	85414	0
42	moe	80703	397312
43	attention	85414	0
43	moe	80703	397312
44	attention	85414	0
44	moe	80703	397312
45	attention	85414	0
45	moe	80703	397312
46	attention	85414	0
46	moe	80703	397312
47	attention	85414	0
47	moe	80703	397312
48	attention	85414	0
48	moe	80703	397312
49	attention	85414	0
49	moe	80703	397312
50	attention	85414	0
50	moe	80703	397312
51	attention	85414	0
51	moe	80703	397312
52	attention	85414	0
52	moe	80703	397312
53	attention	85414	0
53	moe	80703	397312
54	attention	85414	0
54	moe	80703	397312
55	attention	85414	0
55	moe	80703	397312
56	attention	85414	0
56	moe	80703	397312
57	attention	85414	0
57	moe	80703	397312
58	attention	85414	0
58	moe	80703	397312
59	attention	85414	0
59	moe	80703	397312
60	attention	85414	0
60	moe	80703	397312
61	attention	85414	0
61	moe	80703	397312
62	attention	85414	0
62	moe	80703	397312
63	attention	85414	0
63	moe	80703	397312
64	attention	85414	0
64	moe	80703	397312
65	attention	85414	0
65	moe	80703	397312
66	attention	85414	0
66	moe	80703	397312
67	attention	85414	0
67	moe	80703	397312
68	attention	85414	0
68	moe	80703	397312
69	attention	85414	0
69	moe	80703	397312
70	attention	85414	0
70	moe	80703	397312
71	attention	85414	0
71	moe	80703	397312
72	attention	85414	0
72	moe	80703	397312
73	attention	85414	0
73	moe	80703	397312
74	attention	85414	0
74	moe	80703	397312
75	attention	85414	0
75	moe	80703	397312
76	attention	85414	0
76	moe	80703	397312
77	attention	85414	0
77	moe	80703	397312
78	attention	85414	0
78	moe	80703	397312
79	attention	85414	0
79	moe	80703	397312
80	attention	85414	0
80	moe	80703	397312
81	attention	85414	0
81	moe	80703	397312
82	attention	85414	0
82	moe	80703	397312
83	attention	85414	0
83	moe	80703	397312
84	attention	85414	0
84	moe	80703	397312
85	attention	85414	0
85	moe	80703	397312
86	attention	85414	0
86	moe	80703	397312
87	attention	85414	0
87	moe	80703	397312
88	attention	85414	0
88	moe	80703	397312
89	attention	85414	0
89	moe	80703	397312
90	attention	85414	0
90	moe	80703	397312
91	attention	85414	0
91	moe	80703	397312
92	attention	85414	0
92	moe	80703	397312
93	attention	85414	0
93	moe	80703	397312
