layer_id	layer_name	comp_time	comm_size
0	attention	2761041	0
0	moe	4919649	406847488
1	attention	2761041	0
1	moe	4919649	406847488
2	attention	2761041	0
2	moe	4919649	406847488
3	attention	2761041	0
3	moe	4919649	406847488
4	attention	2761041	0
4	moe	4919649	406847488
5	attention	2761041	0
5	moe	4919649	406847488
6	attention	2761041	0
6	moe	4919649	406847488
7	attention	2761041	0
7	moe	4919649	406847488
8	attention	2761041	0
8	moe	4919649	406847488
9	attention	2761041	0
9	moe	4919649	406847488
10	attention	2761041	0
10	moe	4919649	406847488
11	attention	2761041	0
11	moe	4919649	406847488
12	attention	2761041	0
12	moe	4919649	406847488
13	attention	2761041	0
13	moe	4919649	406847488
14	attention	2761041	0
14	moe	4919649	406847488
15	attention	2761041	0
15	moe	4919649	406847488
16	attention	2761041	0
16	moe	4919649	406847488
17	attention	2761041	0
17	moe	4919649	406847488
18	attention	2761041	0
18	moe	4919649	406847488
19	attention	2761041	0
19	moe	4919649	406847488
20	attention	2761041	0
20	moe	4919649	406847488
21	attention	2761041	0
21	moe	4919649	406847488
22	attention	2761041	0
22	moe	4919649	406847488
23	attention	2761041	0
23	moe	4919649	406847488
24	attention	2761041	0
24	moe	4919649	406847488
25	attention	2761041	0
25	moe	4919649	406847488
26	attention	2761041	0
26	moe	4919649	406847488
27	attention	2761041	0
27	moe	4919649	406847488
28	attention	2761041	0
28	moe	4919649	406847488
29	attention	2761041	0
29	moe	4919649	406847488
30	attention	2761041	0
30	moe	4919649	406847488
31	attention	2761041	0
31	moe	4919649	406847488
32	attention	2761041	0
32	moe	4919649	406847488
33	attention	2761041	0
33	moe	4919649	406847488
34	attention	2761041	0
34	moe	4919649	406847488
35	attention	2761041	0
35	moe	4919649	406847488
36	attention	2761041	0
36	moe	4919649	406847488
37	attention	2761041	0
37	moe	4919649	406847488
38	attention	2761041	0
38	moe	4919649	406847488
39	attention	2761041	0
39	moe	4919649	406847488
40	attention	2761041	0
40	moe	4919649	406847488
41	attention	2761041	0
41	moe	4919649	406847488
42	attention	2761041	0
42	moe	4919649	406847488
43	attention	2761041	0
43	moe	4919649	406847488
44	attention	2761041	0
44	moe	4919649	406847488
45	attention	2761041	0
45	moe	4919649	406847488
46	attention	2761041	0
46	moe	4919649	406847488
47	attention	2761041	0
47	moe	4919649	406847488
48	attention	2761041	0
48	moe	4919649	406847488
49	attention	2761041	0
49	moe	4919649	406847488
50	attention	2761041	0
50	moe	4919649	406847488
51	attention	2761041	0
51	moe	4919649	406847488
52	attention	2761041	0
52	moe	4919649	406847488
53	attention	2761041	0
53	moe	4919649	406847488
54	attention	2761041	0
54	moe	4919649	406847488
55	attention	2761041	0
55	moe	4919649	406847488
56	attention	2761041	0
56	moe	4919649	406847488
57	attention	2761041	0
57	moe	4919649	406847488
58	attention	2761041	0
58	moe	4919649	406847488
59	attention	2761041	0
59	moe	4919649	406847488
60	attention	2761041	0
60	moe	4919649	406847488
61	attention	2761041	0
61	moe	4919649	406847488
62	attention	2761041	0
62	moe	4919649	406847488
63	attention	2761041	0
63	moe	4919649	406847488
64	attention	2761041	0
64	moe	4919649	406847488
65	attention	2761041	0
65	moe	4919649	406847488
66	attention	2761041	0
66	moe	4919649	406847488
67	attention	2761041	0
67	moe	4919649	406847488
68	attention	2761041	0
68	moe	4919649	406847488
69	attention	2761041	0
69	moe	4919649	406847488
70	attention	2761041	0
70	moe	4919649	406847488
71	attention	2761041	0
71	moe	4919649	406847488
72	attention	2761041	0
72	moe	4919649	406847488
73	attention	2761041	0
73	moe	4919649	406847488
74	attention	2761041	0
74	moe	4919649	406847488
75	attention	2761041	0
75	moe	4919649	406847488
76	attention	2761041	0
76	moe	4919649	406847488
77	attention	2761041	0
77	moe	4919649	406847488
78	attention	2761041	0
78	moe	4919649	406847488
79	attention	2761041	0
79	moe	4919649	406847488
80	attention	2761041	0
80	moe	4919649	406847488
81	attention	2761041	0
81	moe	4919649	406847488
82	attention	2761041	0
82	moe	4919649	406847488
83	attention	2761041	0
83	moe	4919649	406847488
84	attention	2761041	0
84	moe	4919649	406847488
85	attention	2761041	0
85	moe	4919649	406847488
86	attention	2761041	0
86	moe	4919649	406847488
87	attention	2761041	0
87	moe	4919649	406847488
88	attention	2761041	0
88	moe	4919649	406847488
89	attention	2761041	0
89	moe	4919649	406847488
90	attention	2761041	0
90	moe	4919649	406847488
91	attention	2761041	0
91	moe	4919649	406847488
92	attention	2761041	0
92	moe	4919649	406847488
93	attention	2761041	0
93	moe	4919649	406847488
