layer_id	layer_name	comp_time	comm_size
0	attention	39424	0
0	moe	91644	248320
1	attention	39424	0
1	moe	91644	248320
2	attention	39424	0
2	moe	91644	248320
3	attention	60355	0
3	moe	91644	248320
4	attention	39424	0
4	moe	91644	248320
5	attention	39424	0
5	moe	91644	248320
6	attention	39424	0
6	moe	91644	248320
7	attention	60355	0
7	moe	91644	248320
8	attention	39424	0
8	moe	91644	248320
9	attention	39424	0
9	moe	91644	248320
10	attention	39424	0
10	moe	91644	248320
11	attention	60355	0
11	moe	91644	248320
12	attention	39424	0
12	moe	91644	248320
13	attention	39424	0
13	moe	91644	248320
14	attention	39424	0
14	moe	91644	248320
15	attention	60355	0
15	moe	91644	248320
16	attention	39424	0
16	moe	91644	248320
17	attention	39424	0
17	moe	91644	248320
18	attention	39424	0
18	moe	91644	248320
19	attention	60355	0
19	moe	91644	248320
20	attention	39424	0
20	moe	91644	248320
21	attention	39424	0
21	moe	91644	248320
22	attention	39424	0
22	moe	91644	248320
23	attention	60355	0
23	moe	91644	248320
24	attention	39424	0
24	moe	91644	248320
25	attention	39424	0
25	moe	91644	248320
26	attention	39424	0
26	moe	91644	248320
27	attention	60355	0
27	moe	91644	248320
28	attention	39424	0
28	moe	91644	248320
29	attention	39424	0
29	moe	91644	248320
30	attention	39424	0
30	moe	91644	248320
31	attention	60355	0
31	moe	91644	248320
32	attention	39424	0
32	moe	91644	248320
33	attention	39424	0
33	moe	91644	248320
34	attention	39424	0
34	moe	91644	248320
35	attention	60355	0
35	moe	91644	248320
36	attention	39424	0
36	moe	91644	248320
37	attention	39424	0
37	moe	91644	248320
38	attention	39424	0
38	moe	91644	248320
39	attention	60355	0
39	moe	91644	248320
40	attention	39424	0
40	moe	91644	248320
41	attention	39424	0
41	moe	91644	248320
42	attention	39424	0
42	moe	91644	248320
43	attention	60355	0
43	moe	91644	248320
44	attention	39424	0
44	moe	91644	248320
45	attention	39424	0
45	moe	91644	248320
46	attention	39424	0
46	moe	91644	248320
47	attention	60355	0
47	moe	91644	248320
