layer_id	layer_name	comp_time	comm_size
0	attention	932883	0
0	moe	1306253	254279680
1	attention	932883	0
1	moe	1306253	254279680
2	attention	932883	0
2	moe	1306253	254279680
3	attention	883416	0
3	moe	1306253	254279680
4	attention	932883	0
4	moe	1306253	254279680
5	attention	932883	0
5	moe	1306253	254279680
6	attention	932883	0
6	moe	1306253	254279680
7	attention	883416	0
7	moe	1306253	254279680
8	attention	932883	0
8	moe	1306253	254279680
9	attention	932883	0
9	moe	1306253	254279680
10	attention	932883	0
10	moe	1306253	254279680
11	attention	883416	0
11	moe	1306253	254279680
12	attention	932883	0
12	moe	1306253	254279680
13	attention	932883	0
13	moe	1306253	254279680
14	attention	932883	0
14	moe	1306253	254279680
15	attention	883416	0
15	moe	1306253	254279680
16	attention	932883	0
16	moe	1306253	254279680
17	attention	932883	0
17	moe	1306253	254279680
18	attention	932883	0
18	moe	1306253	254279680
19	attention	883416	0
19	moe	1306253	254279680
20	attention	932883	0
20	moe	1306253	254279680
21	attention	932883	0
21	moe	1306253	254279680
22	attention	932883	0
22	moe	1306253	254279680
23	attention	883416	0
23	moe	1306253	254279680
24	attention	932883	0
24	moe	1306253	254279680
25	attention	932883	0
25	moe	1306253	254279680
26	attention	932883	0
26	moe	1306253	254279680
27	attention	883416	0
27	moe	1306253	254279680
28	attention	932883	0
28	moe	1306253	254279680
29	attention	932883	0
29	moe	1306253	254279680
30	attention	932883	0
30	moe	1306253	254279680
31	attention	883416	0
31	moe	1306253	254279680
32	attention	932883	0
32	moe	1306253	254279680
33	attention	932883	0
33	moe	1306253	254279680
34	attention	932883	0
34	moe	1306253	254279680
35	attention	883416	0
35	moe	1306253	254279680
36	attention	932883	0
36	moe	1306253	254279680
37	attention	932883	0
37	moe	1306253	254279680
38	attention	932883	0
38	moe	1306253	254279680
39	attention	883416	0
39	moe	1306253	254279680
40	attention	932883	0
40	moe	1306253	254279680
41	attention	932883	0
41	moe	1306253	254279680
42	attention	932883	0
42	moe	1306253	254279680
43	attention	883416	0
43	moe	1306253	254279680
44	attention	932883	0
44	moe	1306253	254279680
45	attention	932883	0
45	moe	1306253	254279680
46	attention	932883	0
46	moe	1306253	254279680
47	attention	883416	0
47	moe	1306253	254279680
